phase 3 face ml 4 complexity,label,x,y,complexity
1,1,-58.69734575,-99.03343205,3.26732
2,2,58.2980423,-98.9678383,3.34535
3,5,-1.63489535,-119.927124,3.55187
4,6,0.5986061,-123.5566254,3.20758
5,10,-38.11175155,-110.4857254,3.51947
6,11,37.99288175,-110.5601349,3.70949
7,12,-30.72513965,-118.8717346,3.38065
8,13,-0.1183968,-118.1324883,3.39174
9,24,-57.99204635,-93.58271025,3.71042
10,8,-0.08628085,55.669899,3.75399
11,9,0.0987091,90.6008911,3.33693
12,20,-29.31555745,45.84410095,3.77883
13,21,29.18288805,46.444725,3.72253
14,22,-36.32239725,81.68989565,3.04338
15,23,36.759079,82.0669937,2.7428
16,33,75.7016678,15.23571015,3.13712
17,34,-58.0335197,46.9692688,3.11225
18,35,59.0969391,47.61595915,3.59393
19,3,-65.62177085,-54.1368942,3.3359
20,7,-0.8247948,-8.91114425,3.58423
21,14,-20.50006865,-95.605175,2.88472
22,15,21.82128145,-94.6479225,2.97728
23,16,-33.8045483,-58.79512785,3.70653
24,17,33.6694908,-59.34675215,3.40847
25,18,-36.147131,0.3292847,3.74453
26,19,36.202919,0.2255478,2.99223
27,25,56.82643125,-93.13791655,3.71951
