phase 3 face ml 4 complexity,label,x,y,fcomplexity,rcomplexity
,1,-52.78,-92.01,3.26732,3.2498
,2,52.78,-92.01,3.34535,3.57493
,5,0,-100.54,3.55187,3.57964
,6,0,-116.78,3.20758,3.17114
,10,-26.215,-94.235,3.51947,3.55268
,11,26.215,-94.235,3.70949,3.71672
,12,-29.32,-110.91,3.38065,3.59116
,13,0,-110.91,3.39174,3.69014
,24,-54.21,-83.52,3.71042,3.70837
,8,0,61.6,3.75399,3.75284
,9,0,77.84,3.33693,3.50624
,20,-27.865,54.485,3.77883,3.78061
,21,27.865,54.485,3.72253,3.71398
,22,-29.32,71.97,3.04338,3.18037
,23,29.32,71.97,2.7428,2.7427
,33,72.08,24.36,3.13712,3.29931
,34,-54.21,51.535,3.11225,3.29218
,35,54.21,51.535,3.59393,3.45294
,3,-61.075,-40.35,3.3359,3.21153
,7,0,7.43,3.58423,3.76032
,14,-21.5,-83.14,2.88472,3.16512
,15,21.5,-83.14,2.97728,3.43588
,16,-31.62,-42.725,3.70653,3.70411
,17,31.62,-42.725,3.40847,3.47399
,18,-36.09,15.535,3.74453,3.74337
,19,36.09,15.535,2.99223,3.03671
,25,54.21,-83.52,3.71951,3.71597
,26,-73.19708255,-71.57955935,3.59585,3.60039
,28,-77.65802,-75.6083717,3.75284,3.71989
,30,-69.27053835,-23.31933975,3.27402,3.38163
,32,-74.80472185,16.2051773,3.1481,3.15384
,36,-86.12891005,-35.990757,3.03352,3.54755
,38,-88.6745033,-43.01647185,3.41563,3.57935
,40,-86.6618462,-8.5936241,3.09217,3.44969
,42,-84.94329455,-4.48735045,3.50171,3.7377
,44,-80.7804413,22.79722595,3.48072,3.64442
,4,64.86107635,-53.8068161,3.39862,3.44976
,27,72.9509201,-71.9410782,3.70916,3.75053
,29,76.15119935,-74.74752045,3.37794,3.30053
,31,69.153244,-24.3318329,3.1481,3.15384
,37,86.08831025,-36.6942749,3.38566,3.22937
,39,87.7593689,-42.99897005,3.40491,3.52852
,41,87.6665344,-8.90974425,3.53373,2.97522
,43,84.2204056,-3.6156807,3.63076,3.60974
,45,80.07733155,24.73057555,3.51716,3.58791
